物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100340638271,6.9万円,15000円,-,6.9万円,-,-
100340638991,6.9万円,15000円,-,6.9万円,-,-
100334826939,6.7万円,10000円,-,6.7万円,-,-
100345592139,6.9万円,15000円,-,6.9万円,-,-
100345609255,7万円,10000円,-,7万円,-,-
100345666082,6.7万円,10000円,-,6.7万円,-,-
100324379101,7万円,15000円,-,7万円,-,-
100345168377,6.68万円,9000円,6.68万円,13.36万円,-,-
100345686076,6.9万円,10000円,-,6.9万円,-,-
100345187155,7万円,15000円,-,7万円,-,-
100345530517,7万円,9000円,7万円,14万円,-,-
100345067136,7万円,9000円,7万円,14万円,-,-
100345071123,7万円,9000円,7万円,14万円,-,-
100345048936,7万円,9000円,7万円,14万円,-,-
100345100123,7万円,9000円,7万円,14万円,-,-
100345047512,7万円,9000円,7万円,14万円,-,-
100345124280,7万円,9000円,7万円,14万円,-,-
100345047166,7万円,9000円,7万円,14万円,-,-
100345059464,6.35万円,12000円,-,-,7.55万円,-
100340400410,6.9万円,4000円,6.9万円,6.9万円,-,-
100340422991,6.9万円,4000円,6.9万円,6.9万円,-,-
100345354051,7万円,5000円,7万円,7万円,-,-
100345355668,7万円,5000円,7万円,7万円,-,-
100339811321,6.9万円,4000円,6.9万円,6.9万円,-,-
100339810562,6.9万円,4000円,6.9万円,6.9万円,-,-
100340574999,6.9万円,4000円,6.9万円,6.9万円,-,-
100340656492,6.9万円,15000円,-,6.9万円,-,-
100340636118,6.9万円,15000円,-,6.9万円,-,-
100339816681,6.7万円,10000円,-,-,-,-
100339820383,6.7万円,10000円,-,-,-,-
100341570048,6.35万円,12000円,-,-,-,-
100286958022,6.95万円,10000円,-,-,-,-
100344267289,5.7万円,20000円,-,-,-,-
100338519720,5.7万円,20000円,-,5.7万円,-,-
100337573300,6.9万円,3000円,-,-,-,-
100342853895,6.9万円,3000円,-,-,-,-
100344565669,6.2万円,20000円,-,6.2万円,-,-
100343719127,6.9万円,3000円,-,-,-,-
100343719318,6.9万円,3000円,-,-,-,-
100066020081,6.9万円,3000円,-,-,-,-
100340634552,6.9万円,15000円,-,6.9万円,-,-
100340636464,6.9万円,15000円,-,6.9万円,-,-
100341941019,6.55万円,12000円,-,6.55万円,-,-
100340495199,6.8万円,15000円,-,6.8万円,-,-
100342209826,6.8万円,15000円,-,6.8万円,-,-
100343933724,6.9万円,3000円,-,-,-,-
100341563155,6.35万円,12000円,-,-,6.35万円,-
100341599402,6.35万円,12000円,-,-,6.35万円,-
100344058269,6.9万円,15000円,-,6.9万円,-,-
100342404978,6.7万円,10000円,-,-,-,-
100343381637,6.3万円,15000円,-,6.3万円,-,-
100343378337,6.3万円,15000円,-,6.3万円,-,-
100345481355,7万円,10000円,-,7万円,-,-
100345258289,7万円,15000円,-,7万円,-,-
100345257553,7万円,15000円,-,7万円,-,-
100345377043,7万円,15000円,-,7万円,-,-
100345208974,7万円,15000円,-,7万円,-,-
100345224070,7万円,9000円,7万円,14万円,-,-
100345332790,7万円,5000円,7万円,7万円,-,-
100345333038,7万円,5000円,7万円,7万円,-,-
100345337335,7万円,5000円,7万円,7万円,-,-
100345336067,7万円,5000円,7万円,7万円,-,-
100345343272,7万円,5000円,7万円,7万円,-,-
100345342838,7万円,5000円,7万円,7万円,-,-
100345352835,7万円,5000円,7万円,7万円,-,-
100332153771,6.9万円,10000円,-,6.9万円,-,-
100343669405,6.9万円,3000円,-,-,-,-
100341543295,6.35万円,12000円,-,-,7.55万円,-
100333193194,6.95万円,10000円,-,6.95万円,-,-
100340636757,6.9万円,15000円,-,6.9万円,-,-
100335372206,6.7万円,10000円,-,-,-,-
100334831935,6.7万円,10000円,-,-,-,-
100334862908,6.7万円,10000円,-,6.7万円,-,-
100335057256,6.7万円,10000円,-,-,-,-
100336866760,6.95万円,10000円,-,-,-,-
100334900526,6.7万円,10000円,-,6.7万円,-,-
100335055407,6.7万円,10000円,-,6.7万円,-,-
100343712955,6.9万円,3000円,-,-,-,-
100342891991,6.9万円,3000円,-,-,-,-
100339758344,6.35万円,12000円,-,-,6.35万円,-
100337207742,6.95万円,10000円,-,-,-,-
100342569490,6.7万円,10000円,-,6.7万円,-,-
100344642691,6.7万円,10000円,-,-,-,-
